,state,city,pflag,call_ltrs,month_tot_amt,month_dep_nml,24_hr_max,days_above_1,days_above_50,season_to_date,season_dep_nml,year_to_date_amt,year_to_date_dep_nml,year_to_date_pct_nml
72,IA,DES MOINES    ,0,DSM,465.0,150.0,229.0,4.0,2.0,-999.0,-999.0,3907 ,1035,136.0
164,OH,CINCINNATI    ,0,CVG,61.0,-221.0,48.0,3.0,0.0,-999.0,-999.0,4492 ,1190,136.0
241,WI,LA CROSSE     ,1,LSE,609.0,269.0,169.0,4.0,5.0,-999.0,-999.0,3654 , 968,136.0
239,WI,EAU CLAIRE    ,0,EAU,594.0,220.0,220.0,0.0,4.0,-999.0,-999.0,3650 , 967,136.0
66,IN,EVANSVILLE    ,0,EVV,8.0,-291.0,4.0,3.0,0.0,-999.0,-999.0,4609 ,1221,136.0
223,UT,SALT LAKE CITY,0,SLC,157.0,24.0,81.0,1.0,1.0,-999.0,-999.0,1682 , 455,137.0
185,PA,WILKES-BARRE  ,0,AVP,123.0,-263.0,43.0,8.0,0.0,-999.0,-999.0,3949 ,1067,137.0
138,NV,LAS VEGAS     ,0,LAS,24.0,-7.0,24.0,1.0,0.0,-999.0,-999.0,488  ,135,138.0
100,MI,GRAND RAPIDS  ,0,GRR,736.0,308.0,256.0,4.0,5.0,-999.0,-999.0,3888 ,1071,138.0
234,WA,YAKIMA        ,0,YKM,54.0,15.0,33.0,6.0,0.0,-999.0,-999.0,732  ,202,138.0
216,TX,LUBBOCK       ,0,LBB,597.0,340.0,215.0,8.0,3.0,-999.0,-999.0,2158 , 595,138.0
180,PA,ALLENTOWN     ,0,ABE,135.0,-302.0,59.0,6.0,1.0,-999.0,-999.0,4782 ,1317,138.0
214,TX,GALVESTON     ,0,GLS,1806.0,1230.0,681.0,1.0,3.0,-999.0,-999.0,4598 ,1291,139.0
62,IL,MOLINE        ,0,MLI,719.0,403.0,179.0,7.0,6.0,-999.0,-999.0,4198 ,1178,139.0
106,MN,INT'L FALLS   ,0,INL,665.0,362.0,148.0,7.0,6.0,-999.0,-999.0,2761 , 775,139.0
161,ND,MINOT         ,0,MOT,753.0,579.0,186.0,3.0,4.0,-999.0,-999.0,2168 , 609,139.0
18,CA,EUREKA        ,0,EKA,175.0,89.0,106.0,6.0,1.0,-999.0,-999.0,3294 , 942,140.0
140,NV,WINNEMUCCA    ,0,WMC,104.0,51.0,24.0,8.0,0.0,-999.0,-999.0,846  ,242,140.0
91,ME,BANGOR        ,0,BGR,274.0,-65.0,83.0,1.0,1.0,-999.0,-999.0,4074 ,1164,140.0
61,IL,CHICAGO/O'HARE,0,ORD,762.0,435.0,228.0,5.0,4.0,-999.0,-999.0,3946 ,1128,140.0
112,MS,TUPELO        ,0,TUP,1.0,-334.0,1.0,1.0,0.0,-999.0,-999.0,5837 ,1698,141.0
79,KS,HILL CITY     ,0,HLC,132.0,-74.0,71.0,5.0,1.0,-999.0,-999.0,2846 , 828,141.0
184,PA,PITTSBURGH    ,0,PIT,535.0,214.0,345.0,6.0,2.0,-999.0,-999.0,4210 ,1246,142.0
21,CA,REDDING       ,0,RDD,30.0,-18.0,12.0,3.0,0.0,-999.0,-999.0,3239 , 974,143.0
171,OK,OKLAHOMA CITY ,0,OKC,223.0,-175.0,57.0,8.0,2.0,-999.0,-999.0,4036 ,1214,143.0
65,IL,SPRINGFIELD   ,0,SPI,417.0,134.0,175.0,1.0,3.0,-999.0,-999.0,3927 ,1181,143.0
242,WI,MADISON       ,0,MSN,681.0,373.0,189.0,5.0,4.0,-999.0,-999.0,3831 ,1152,143.0
128,NE,HASTINGS      ,0,HSI,166.0,-108.0,75.0,5.0,1.0,-999.0,-999.0,3516 ,1108,146.0
64,IL,ROCKFORD      ,0,RFD,911.0,564.0,291.0,4.0,6.0,-999.0,-999.0,4304 ,1377,147.0
169,OH,TOLEDO        ,0,TOL,380.0,96.0,97.0,0.0,4.0,-999.0,-999.0,3730 ,1193,147.0
244,WI,WAUSAU        ,0,AUW,733.0,325.0,199.0,7.0,5.0,-999.0,-999.0,3996 ,1278,147.0
81,KS,WICHITA       ,0,ICT,98.0,-198.0,41.0,7.0,0.0,-999.0,-999.0,3657 ,1187,148.0
172,OK,TULSA         ,0,TUL,396.0,-80.0,147.0,8.0,2.0,-999.0,-999.0,4799 ,1557,148.0
176,OR,MEDFORD       ,0,MFR,187.0,109.0,65.0,1.0,2.0,-999.0,-999.0,1659 , 539,148.0
